Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,"-2,7756E-17","0,003",0,0,0,"0,12731","0,00011505","6,9513E-09","-9,0206E-22","0,00053821","-2,3714E-22","0,00065249",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/base_link.STL,,base_chasis-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_base_tornillo_frontal_izquierdo,"-0,079596","0,059512","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0207E-22","0,00053837","-2,3742E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_izquierdo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_izquierdo.STL,,base_chasis-2;tornillo_uniones-3,Origin_joint_base_tornillo_frontal_izquierdo,,joint_base_tornillo_frontal_izquierdo,fixed,"0,080251","-0,060001","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_frontal_izquierdo,"-0,079596","0,059512","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","4,8083E-20","0,00053837","-1,7689E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_izquierdo.STL,,tornillo_uniones-3;base_chasis-1,Origin_joint_tapa_tornillo_frontal_izquierdo,,joint_tapa_tornillo_frontal_izquierdo,fixed,0,0,"0,048",0,0,0,link_base_tornillo_frontal_izquierdo,0,0,0,,,,,,,,,,,,
link_tapa_bateria,"0,038525","0,00046209","0,0033466",0,0,0,"0,22076","0,00018366","6,9513E-09","-6,0991E-22","0,00055664","1,2031E-22","0,00073054",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_bateria.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_bateria.STL,,base_chasis-1;bateria-1,Origin_joint_tapa_bateria,,joint_tapa_bateria,fixed,"-0,14706","0,0592","0,002",0,0,0,link_tapa_tornillo_frontal_izquierdo,0,0,0,,,,,,,,,,,,
link_base_tornillo_central_izquierdo,"-9,9672E-07","0,05852","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0207E-22","0,00053837","-2,3743E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_central_izquierdo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_central_izquierdo.STL,,base_chasis-2;tornillo_uniones-6,Origin_joint_base_tornillo_central_izquierdo,,joint_base_tornillo_central_izquierdo,fixed,0,"-0,059001","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_central_izquierdo,"-9,9672E-07","0,05852","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4454E-22","0,00053837","-1,7627E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_central_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_central_izquierdo.STL,,tornillo_uniones-6;base_chasis-1,Origin_joint_tapa_tornillo_central_izquierdo,,joint_tapa_tornillo_central_izquierdo,fixed,0,0,"0,048",0,0,0,link_base_tornillo_central_izquierdo,0,0,0,,,,,,,,,,,,
link_base_tornillo_trasero_izquierdo,"0,079594","0,059512","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","1,8928E-22","0,00053837","-2,3668E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_trasero_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_trasero_izquierdo.STL,,tornillo_uniones-1;base_chasis-2,Origin_joint_base_tornillo_trasero_izquierdo,Axis_joint_base_tornillo_trasero_izquierdo,joint_base_tornillo_trasero_izquierdo,fixed,"-0,080249","-0,060001","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_trasero_izquierdo,"0,079594","0,059512","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4444E-22","0,00053837","-1,755E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_trasero_izquierdo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_trasero_izquierdo.STL,,base_chasis-1;tornillo_uniones-1,Origin_joint_tapa_tornillo_trasero_izquierdo,,joint_tapa_tornillo_trasero_izquierdo,fixed,0,0,"0,048",0,0,0,link_base_tornillo_trasero_izquierdo,0,0,0,,,,,,,,,,,,
link_base_tornillo_frontal_derecho,"-0,079596","-0,05951","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0222E-22","0,00053837","-2,3815E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_derecho.STL,,base_chasis-2;tornillo_uniones-4,Origin_joint_base_tornillo_frontal_derecho,,joint_base_tornillo_frontal_derecho,fixed,"0,080251","0,059999","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_frontal_derecho,"-0,079596","-0,05951","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4438E-22","0,00053837","-1,7698E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_derecho.STL,,base_chasis-1;tornillo_uniones-4,Origin_joint_tapa_tornillo_frontal_derecho,,joint_tapa_tornillo_frontal_derecho,fixed,0,0,"0,048",0,0,0,link_base_tornillo_frontal_derecho,0,0,0,,,,,,,,,,,,
